code,blockname,type,source
000537,白马股,gn,ths
002016,白马股,gn,ths
002717,白马股,gn,ths
300438,白马股,gn,ths
603239,白马股,gn,ths
603466,白马股,gn,ths
000662,白马股,gn,ths
002078,白马股,gn,ths
600781,白马股,gn,ths
601100,白马股,gn,ths
002680,白马股,gn,ths
300335,白马股,gn,ths
600516,白马股,gn,ths
600093,白马股,gn,ths
603788,白马股,gn,ths
300113,白马股,gn,ths
000997,白马股,gn,ths
002648,白马股,gn,ths
603707,白马股,gn,ths
002518,白马股,gn,ths
300323,白马股,gn,ths
600188,白马股,gn,ths
600419,白马股,gn,ths
600487,白马股,gn,ths
600079,白马股,gn,ths
600998,白马股,gn,ths
002558,白马股,gn,ths
300422,白马股,gn,ths
002517,白马股,gn,ths
002019,白马股,gn,ths
600260,白马股,gn,ths
603357,白马股,gn,ths
002555,白马股,gn,ths
002753,白马股,gn,ths
600340,白马股,gn,ths
002449,白马股,gn,ths
603165,白马股,gn,ths
603626,白马股,gn,ths
603929,白马股,gn,ths
002366,白马股,gn,ths
603338,白马股,gn,ths
002354,白马股,gn,ths
000732,白马股,gn,ths
002247,白马股,gn,ths
002343,白马股,gn,ths
002918,白马股,gn,ths
603685,白马股,gn,ths
603179,白马股,gn,ths
603387,白马股,gn,ths
603612,白马股,gn,ths
300418,白马股,gn,ths
600309,白马股,gn,ths
300554,白马股,gn,ths
002928,白马股,gn,ths
002508,白马股,gn,ths
601318,白马股,gn,ths
002008,白马股,gn,ths
002920,白马股,gn,ths
300410,白马股,gn,ths
300176,白马股,gn,ths
603757,白马股,gn,ths
603638,白马股,gn,ths
603506,白马股,gn,ths
000034,白马股,gn,ths
000568,白马股,gn,ths
603008,白马股,gn,ths
300732,白马股,gn,ths
603871,白马股,gn,ths
300700,白马股,gn,ths
603103,白马股,gn,ths
002925,白马股,gn,ths
002624,白马股,gn,ths
603773,白马股,gn,ths
603595,白马股,gn,ths
300628,白马股,gn,ths
603444,白马股,gn,ths
603843,参股保险,gn,ths
300003,参股保险,gn,ths
002653,参股保险,gn,ths
000989,参股保险,gn,ths
600400,参股保险,gn,ths
603708,参股保险,gn,ths
002030,参股保险,gn,ths
600175,参股保险,gn,ths
600759,参股保险,gn,ths
000540,参股保险,gn,ths
600167,参股保险,gn,ths
600248,参股保险,gn,ths
600094,参股保险,gn,ths
000961,参股保险,gn,ths
000056,参股保险,gn,ths
000861,参股保险,gn,ths
000419,参股保险,gn,ths
600020,参股保险,gn,ths
002131,参股保险,gn,ths
000798,参股保险,gn,ths
600219,参股保险,gn,ths
002122,参股保险,gn,ths
601216,参股保险,gn,ths
000428,参股保险,gn,ths
000046,参股保险,gn,ths
600143,参股保险,gn,ths
000100,参股保险,gn,ths
600195,参股保险,gn,ths
002421,参股保险,gn,ths
002533,参股保险,gn,ths
000563,参股保险,gn,ths
000751,参股保险,gn,ths
002542,参股保险,gn,ths
600657,参股保险,gn,ths
002524,参股保险,gn,ths
600112,参股保险,gn,ths
000533,参股保险,gn,ths
000531,参股保险,gn,ths
600070,参股保险,gn,ths
002195,参股保险,gn,ths
000563,参股保险,gn,ths
000751,参股保险,gn,ths
002542,参股保险,gn,ths
600657,参股保险,gn,ths
002524,参股保险,gn,ths
600112,参股保险,gn,ths
000533,参股保险,gn,ths
000531,参股保险,gn,ths
600070,参股保险,gn,ths
002195,参股保险,gn,ths
600510,参股保险,gn,ths
600241,参股保险,gn,ths
600704,参股保险,gn,ths
601857,参股保险,gn,ths
600816,参股保险,gn,ths
601766,参股保险,gn,ths
600177,参股保险,gn,ths
002261,参股保险,gn,ths
000671,参股保险,gn,ths
002091,参股保险,gn,ths
002700,参股保险,gn,ths
601908,参股保险,gn,ths
002215,参股保险,gn,ths
600390,参股保险,gn,ths
000617,参股保险,gn,ths
000627,参股保险,gn,ths
600110,参股保险,gn,ths
600247,参股保险,gn,ths
603999,参股保险,gn,ths
601999,参股保险,gn,ths
603696,参股保险,gn,ths
300147,参股保险,gn,ths
002622,参股保险,gn,ths
601555,参股保险,gn,ths
002717,参股保险,gn,ths
002492,参股保险,gn,ths
601678,参股保险,gn,ths
000712,参股保险,gn,ths
600718,参股保险,gn,ths
300287,参股保险,gn,ths
300451,参股保险,gn,ths
300024,参股保险,gn,ths
603669,参股保险,gn,ths
002065,参股保险,gn,ths
600392,参股保险,gn,ths
002271,参股保险,gn,ths
002558,参股保险,gn,ths
300096,参股保险,gn,ths
002756,参股保险,gn,ths
600291,参股保险,gn,ths
600120,参股保险,gn,ths
601155,参股保险,gn,ths
002320,参股保险,gn,ths
603555,参股保险,gn,ths
603858,参股保险,gn,ths
600570,参股保险,gn,ths
600588,参股保险,gn,ths
002661,参股民营银行,gn,ths
002607,参股民营银行,gn,ths
000620,参股民营银行,gn,ths
600400,参股民营银行,gn,ths
002360,参股民营银行,gn,ths
002361,参股民营银行,gn,ths
002269,参股民营银行,gn,ths
300324,参股民营银行,gn,ths
002569,参股民营银行,gn,ths
002630,参股民营银行,gn,ths
002310,参股民营银行,gn,ths
600122,参股民营银行,gn,ths
000603,参股民营银行,gn,ths
000631,参股民营银行,gn,ths
002355,参股民营银行,gn,ths
601933,参股民营银行,gn,ths
000861,参股民营银行,gn,ths
002064,参股民营银行,gn,ths
600380,参股民营银行,gn,ths
002031,参股民营银行,gn,ths
600255,参股民营银行,gn,ths
002288,参股民营银行,gn,ths
600162,参股民营银行,gn,ths
600496,参股民营银行,gn,ths
002496,参股民营银行,gn,ths
600143,参股民营银行,gn,ths
002543,参股民营银行,gn,ths
600691,参股民营银行,gn,ths
600031,参股民营银行,gn,ths
002727,参股民营银行,gn,ths
000900,参股民营银行,gn,ths
000572,参股民营银行,gn,ths
600227,参股民营银行,gn,ths
600012,参股民营银行,gn,ths
002233,参股民营银行,gn,ths
600830,参股民营银行,gn,ths
002398,参股民营银行,gn,ths
603366,参股民营银行,gn,ths
002515,参股民营银行,gn,ths
000690,参股民营银行,gn,ths
002614,参股民营银行,gn,ths
000931,参股民营银行,gn,ths
300180,参股民营银行,gn,ths
002697,参股民营银行,gn,ths
002286,参股民营银行,gn,ths
002457,参股民营银行,gn,ths
000559,参股民营银行,gn,ths
300064,参股民营银行,gn,ths
002640,参股民营银行,gn,ths
300157,参股民营银行,gn,ths
601208,参股民营银行,gn,ths
603001,参股民营银行,gn,ths
601599,参股民营银行,gn,ths
600113,参股民营银行,gn,ths
603116,参股民营银行,gn,ths
300038,参股民营银行,gn,ths
300070,参股民营银行,gn,ths
300011,参股民营银行,gn,ths
300251,参股民营银行,gn,ths
002024,参股民营银行,gn,ths
002612,参股民营银行,gn,ths
601886,参股民营银行,gn,ths
002065,参股民营银行,gn,ths
600998,参股民营银行,gn,ths
002271,参股民营银行,gn,ths
600260,参股民营银行,gn,ths
600410,参股民营银行,gn,ths
000651,参股民营银行,gn,ths
600682,参股民营银行,gn,ths
000732,参股民营银行,gn,ths
601877,参股民营银行,gn,ths
603737,参股民营银行,gn,ths
000333,参股民营银行,gn,ths
600588,参股民营银行,gn,ths
600754,参股券商,gn,ths
600884,参股券商,gn,ths
600136,参股券商,gn,ths
600056,参股券商,gn,ths
600156,参股券商,gn,ths
600826,参股券商,gn,ths
000897,参股券商,gn,ths
000793,参股券商,gn,ths
002670,参股券商,gn,ths
600122,参股券商,gn,ths
600811,参股券商,gn,ths
600896,参股券商,gn,ths
601390,参股券商,gn,ths
600739,参股券商,gn,ths
600108,参股券商,gn,ths
600190,参股券商,gn,ths
600269,参股券商,gn,ths
600839,参股券商,gn,ths
000543,参股券商,gn,ths
002018,参股券商,gn,ths
600208,参股券商,gn,ths
600380,参股券商,gn,ths
600415,参股券商,gn,ths
600642,参股券商,gn,ths
000027,参股券商,gn,ths
600063,参股券商,gn,ths
600170,参股券商,gn,ths
600565,参股券商,gn,ths
000046,参股券商,gn,ths
600635,参股券商,gn,ths
600676,参股券商,gn,ths
600705,参股券商,gn,ths
600881,参股券商,gn,ths
000652,参股券商,gn,ths
000736,参股券商,gn,ths
600106,参股券商,gn,ths
600350,参股券商,gn,ths
600054,参股券商,gn,ths
600287,参股券商,gn,ths
000429,参股券商,gn,ths
000563,参股券商,gn,ths
000900,参股券商,gn,ths
600249,参股券商,gn,ths
600716,参股券商,gn,ths
600823,参股券商,gn,ths
002316,参股券商,gn,ths
600611,参股券商,gn,ths
000828,参股券商,gn,ths
000877,参股券商,gn,ths
000965,参股券商,gn,ths
600252,参股券商,gn,ths
600261,参股券商,gn,ths
601789,参股券商,gn,ths
000031,参股券商,gn,ths
600068,参股券商,gn,ths
600815,参股券商,gn,ths
000615,参股券商,gn,ths
600336,参股券商,gn,ths
000505,参股券商,gn,ths
000685,参股券商,gn,ths
000702,参股券商,gn,ths
603828,参股券商,gn,ths
000039,参股券商,gn,ths
600530,参股券商,gn,ths
600704,参股券商,gn,ths
600755,参股券商,gn,ths
600064,参股券商,gn,ths
600155,参股券商,gn,ths
600177,参股券商,gn,ths
600292,参股券商,gn,ths
600649,参股券商,gn,ths
600266,参股券商,gn,ths
600310,参股券商,gn,ths
600639,参股券商,gn,ths
600650,参股券商,gn,ths
600651,参股券商,gn,ths
600851,参股券商,gn,ths
000617,参股券商,gn,ths
002116,参股券商,gn,ths
600390,参股券商,gn,ths
600649,参股券商,gn,ths
600266,参股券商,gn,ths
600310,参股券商,gn,ths
600639,参股券商,gn,ths
600650,参股券商,gn,ths
600651,参股券商,gn,ths
600851,参股券商,gn,ths
000617,参股券商,gn,ths
002116,参股券商,gn,ths
600390,参股券商,gn,ths
603999,参股券商,gn,ths
600736,参股券商,gn,ths
601999,参股券商,gn,ths
600643,参股券商,gn,ths
600048,参股券商,gn,ths
600663,参股券商,gn,ths
600278,参股券商,gn,ths
600695,参股券商,gn,ths
600571,参股券商,gn,ths
300085,参股券商,gn,ths
000712,参股券商,gn,ths
000623,参股券商,gn,ths
000733,参股券商,gn,ths
600079,参股券商,gn,ths
002357,参股券商,gn,ths
600621,参股券商,gn,ths
601628,参股券商,gn,ths
600120,参股券商,gn,ths
600362,参股券商,gn,ths
000732,参股券商,gn,ths
000538,参股券商,gn,ths
000568,参股券商,gn,ths
000596,参股券商,gn,ths
300015,参股360,gn,ths
600807,参股360,gn,ths
002445,参股360,gn,ths
002489,参股360,gn,ths
002516,参股360,gn,ths
600606,参股360,gn,ths
000839,参股360,gn,ths
000917,参股360,gn,ths
300360,参股360,gn,ths
600153,参股360,gn,ths
002555,参股360,gn,ths
002409,参股360,gn,ths
000661,参股新三板,gn,ths
002798,参股新三板,gn,ths
600884,参股新三板,gn,ths
000735,参股新三板,gn,ths
002711,参股新三板,gn,ths
002787,参股新三板,gn,ths
300470,参股新三板,gn,ths
002157,参股新三板,gn,ths
002076,参股新三板,gn,ths
002340,参股新三板,gn,ths
300192,参股新三板,gn,ths
000793,参股新三板,gn,ths
002030,参股新三板,gn,ths
002098,参股新三板,gn,ths
002437,参股新三板,gn,ths
600796,参股新三板,gn,ths
002355,参股新三板,gn,ths
000961,参股新三板,gn,ths
600872,参股新三板,gn,ths
000516,参股新三板,gn,ths
002004,参股新三板,gn,ths
600282,参股新三板,gn,ths
600321,参股新三板,gn,ths
002084,参股新三板,gn,ths
300389,参股新三板,gn,ths
000027,参股新三板,gn,ths
000903,参股新三板,gn,ths
300126,参股新三板,gn,ths
300472,参股新三板,gn,ths
002307,参股新三板,gn,ths
600635,参股新三板,gn,ths
000100,参股新三板,gn,ths
300259,参股新三板,gn,ths
600103,参股新三板,gn,ths
600658,参股新三板,gn,ths
002174,参股新三板,gn,ths
601377,参股新三板,gn,ths
000998,参股新三板,gn,ths
002067,参股新三板,gn,ths
600008,参股新三板,gn,ths
000828,参股新三板,gn,ths
300165,参股新三板,gn,ths
300301,参股新三板,gn,ths
000031,参股新三板,gn,ths
600624,参股新三板,gn,ths
000716,参股新三板,gn,ths
002413,参股新三板,gn,ths
002634,参股新三板,gn,ths
300133,参股新三板,gn,ths
000062,参股新三板,gn,ths
000836,参股新三板,gn,ths
002129,参股新三板,gn,ths
600533,参股新三板,gn,ths
600981,参股新三板,gn,ths
000513,参股新三板,gn,ths
000690,参股新三板,gn,ths
000786,参股新三板,gn,ths
002195,参股新三板,gn,ths
300398,参股新三板,gn,ths
000783,参股新三板,gn,ths
000931,参股新三板,gn,ths
002285,参股新三板,gn,ths
300018,参股新三板,gn,ths
300088,参股新三板,gn,ths
600059,参股新三板,gn,ths
600082,参股新三板,gn,ths
002286,参股新三板,gn,ths
002654,参股新三板,gn,ths
600064,参股新三板,gn,ths
600100,参股新三板,gn,ths
600283,参股新三板,gn,ths
600561,参股新三板,gn,ths
600805,参股新三板,gn,ths
300035,参股新三板,gn,ths
002376,参股新三板,gn,ths
300058,参股新三板,gn,ths
300084,参股新三板,gn,ths
600133,参股新三板,gn,ths
600266,参股新三板,gn,ths
600851,参股新三板,gn,ths
300043,参股新三板,gn,ths
600895,参股新三板,gn,ths
000686,参股新三板,gn,ths
002054,参股新三板,gn,ths
002702,参股新三板,gn,ths
000507,参股新三板,gn,ths
002673,参股新三板,gn,ths
300195,参股新三板,gn,ths
600525,参股新三板,gn,ths
000551,参股新三板,gn,ths
000628,参股新三板,gn,ths
002280,参股新三板,gn,ths
603999,参股新三板,gn,ths
000776,参股新三板,gn,ths
000917,参股新三板,gn,ths
300313,参股新三板,gn,ths
600363,参股新三板,gn,ths
600736,参股新三板,gn,ths
601238,参股新三板,gn,ths
002783,参股新三板,gn,ths
000728,参股新三板,gn,ths
002353,参股新三板,gn,ths
300437,参股新三板,gn,ths
600373,参股新三板,gn,ths
600770,参股新三板,gn,ths
002622,参股新三板,gn,ths
600111,参股新三板,gn,ths
600862,参股新三板,gn,ths
002238,参股新三板,gn,ths
002730,参股新三板,gn,ths
002820,参股新三板,gn,ths
300231,参股新三板,gn,ths
300251,参股新三板,gn,ths
600783,参股新三板,gn,ths
603007,参股新三板,gn,ths
600571,参股新三板,gn,ths
000532,参股新三板,gn,ths
002317,参股新三板,gn,ths
300268,参股新三板,gn,ths
002292,参股新三板,gn,ths
600475,参股新三板,gn,ths
000997,参股新三板,gn,ths
300356,参股新三板,gn,ths
600079,参股新三板,gn,ths
002491,参股新三板,gn,ths
002632,参股新三板,gn,ths
002642,参股新三板,gn,ths
300096,参股新三板,gn,ths
600410,参股新三板,gn,ths
002555,参股新三板,gn,ths
603009,参股新三板,gn,ths
300046,参股新三板,gn,ths
300227,参股新三板,gn,ths
600171,参股新三板,gn,ths
002451,参股新三板,gn,ths
300456,参股新三板,gn,ths
603398,参股新三板,gn,ths
603330,参股新三板,gn,ths
002038,参股新三板,gn,ths
300271,参股新三板,gn,ths
600588,参股新三板,gn,ths
300226,参股新三板,gn,ths
000938,参股新三板,gn,ths
002624,参股新三板,gn,ths
600596,草甘膦,gn,ths
600141,草甘膦,gn,ths
600226,草甘膦,gn,ths
603077,草甘膦,gn,ths
002018,草甘膦,gn,ths
002496,草甘膦,gn,ths
000553,草甘膦,gn,ths
002391,草甘膦,gn,ths
000525,草甘膦,gn,ths
603599,草甘膦,gn,ths
600389,草甘膦,gn,ths
600486,草甘膦,gn,ths
000890,超导,gn,ths
600595,超导,gn,ths
002498,超导,gn,ths
600973,超导,gn,ths
600105,超导,gn,ths
002149,超导,gn,ths
600468,超导,gn,ths
000962,超导,gn,ths
600089,超导,gn,ths
600363,超导,gn,ths
600522,超导,gn,ths
600203,超导,gn,ths
002507,超级品牌,gn,ths
600305,超级品牌,gn,ths
600104,超级品牌,gn,ths
000895,超级品牌,gn,ths
000100,超级品牌,gn,ths
002216,超级品牌,gn,ths
600600,超级品牌,gn,ths
600887,超级品牌,gn,ths
002024,超级品牌,gn,ths
600085,超级品牌,gn,ths
002507,超级品牌,gn,ths
600305,超级品牌,gn,ths
600104,超级品牌,gn,ths
000895,超级品牌,gn,ths
000100,超级品牌,gn,ths
002216,超级品牌,gn,ths
600600,超级品牌,gn,ths
600887,超级品牌,gn,ths
002024,超级品牌,gn,ths
600085,超级品牌,gn,ths
600690,超级品牌,gn,ths
000651,超级品牌,gn,ths
000002,超级品牌,gn,ths
000423,超级品牌,gn,ths
002594,超级品牌,gn,ths
603515,超级品牌,gn,ths
000858,超级品牌,gn,ths
000333,超级品牌,gn,ths
603288,超级品牌,gn,ths
000538,超级品牌,gn,ths
000568,超级品牌,gn,ths
002304,超级品牌,gn,ths
600519,超级品牌,gn,ths
300458,车联网,gn,ths
002326,车联网,gn,ths
000670,车联网,gn,ths
002232,车联网,gn,ths
600745,车联网,gn,ths
600335,车联网,gn,ths
002355,车联网,gn,ths
600166,车联网,gn,ths
600653,车联网,gn,ths
601127,车联网,gn,ths
600035,车联网,gn,ths
600289,车联网,gn,ths
600306,车联网,gn,ths
000572,车联网,gn,ths
300219,车联网,gn,ths
603023,车联网,gn,ths
002681,车联网,gn,ths
000800,车联网,gn,ths
002456,车联网,gn,ths
002376,车联网,gn,ths
600035,车联网,gn,ths
600289,车联网,gn,ths
600306,车联网,gn,ths
000572,车联网,gn,ths
300219,车联网,gn,ths
603023,车联网,gn,ths
002681,车联网,gn,ths
000800,车联网,gn,ths
002456,车联网,gn,ths
002376,车联网,gn,ths
000909,车联网,gn,ths
002590,车联网,gn,ths
601238,车联网,gn,ths
300184,车联网,gn,ths
600198,车联网,gn,ths
000625,车联网,gn,ths
002331,车联网,gn,ths
000066,车联网,gn,ths
002024,车联网,gn,ths
601799,车联网,gn,ths
002446,车联网,gn,ths
002766,车联网,gn,ths
300045,车联网,gn,ths
300098,车联网,gn,ths
600718,车联网,gn,ths
600699,车联网,gn,ths
002055,车联网,gn,ths
002010,车联网,gn,ths
002253,车联网,gn,ths
002642,车联网,gn,ths
000901,车联网,gn,ths
002373,车联网,gn,ths
002230,车联网,gn,ths
002405,车联网,gn,ths
300212,车联网,gn,ths
601360,车联网,gn,ths
300590,车联网,gn,ths
002594,车联网,gn,ths
002920,车联网,gn,ths
600845,车联网,gn,ths
300209,车联网,gn,ths
300496,车联网,gn,ths
002813,车联网,gn,ths
300745,充电桩,gn,ths
002768,充电桩,gn,ths
300001,充电桩,gn,ths
002441,充电桩,gn,ths
002607,充电桩,gn,ths
002442,充电桩,gn,ths
600405,充电桩,gn,ths
603012,充电桩,gn,ths
002076,充电桩,gn,ths
300510,充电桩,gn,ths
600680,充电桩,gn,ths
300491,充电桩,gn,ths
002121,充电桩,gn,ths
002610,充电桩,gn,ths
600979,充电桩,gn,ths
002256,充电桩,gn,ths
002074,充电桩,gn,ths
600277,充电桩,gn,ths
002334,充电桩,gn,ths
002062,充电桩,gn,ths
002227,充电桩,gn,ths
002028,充电桩,gn,ths
000005,充电桩,gn,ths
300040,充电桩,gn,ths
002519,充电桩,gn,ths
002533,充电桩,gn,ths
002363,充电桩,gn,ths
000009,充电桩,gn,ths
002276,充电桩,gn,ths
000682,充电桩,gn,ths
600406,充电桩,gn,ths
300048,充电桩,gn,ths
300141,充电桩,gn,ths
000828,充电桩,gn,ths
000601,充电桩,gn,ths
000421,充电桩,gn,ths
600268,充电桩,gn,ths
002364,充电桩,gn,ths
000407,充电桩,gn,ths
600386,充电桩,gn,ths
600312,充电桩,gn,ths
002522,充电桩,gn,ths
300376,充电桩,gn,ths
002706,充电桩,gn,ths
600330,充电桩,gn,ths
002339,充电桩,gn,ths
000909,充电桩,gn,ths
002123,充电桩,gn,ths
600522,充电桩,gn,ths
002298,充电桩,gn,ths
300215,充电桩,gn,ths
300062,充电桩,gn,ths
300274,充电桩,gn,ths
000400,充电桩,gn,ths
300478,充电桩,gn,ths
002190,充电桩,gn,ths
002358,充电桩,gn,ths
002660,充电桩,gn,ths
600487,充电桩,gn,ths
002518,充电桩,gn,ths
002357,充电桩,gn,ths
002837,充电桩,gn,ths
002335,充电桩,gn,ths
300582,充电桩,gn,ths
002782,充电桩,gn,ths
300499,充电桩,gn,ths
002851,充电桩,gn,ths
002594,充电桩,gn,ths
300623,充电桩,gn,ths
300693,充电桩,gn,ths
002885,充电桩,gn,ths
300644,充电桩,gn,ths
300713,充电桩,gn,ths
600884,创投,gn,ths
600250,创投,gn,ths
000670,创投,gn,ths
600689,创投,gn,ths
600400,创投,gn,ths
600145,创投,gn,ths
600282,创投,gn,ths
600020,创投,gn,ths
002031,创投,gn,ths
000027,创投,gn,ths
